,GSM3690866_G13_htseq,GSM3690863_G10_htseq,GSM3690855_G05_htseq,GSM3690867_G14_htseq,GSM3690857_G07_htseq,GSM3690868_G09_htseq,GSM3690864_G11_htseq,GSM3690852_G03_htseq,GSM3690851_G01_htseq,GSM3690865_G12_htseq,GSM3690858_G04_htseq,GSM3690856_G06_htseq
0610005C13Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610007N19Rik,0,3,0,0,0,0,3,3,77,1,379,0
0610007P14Rik,457,340,0,5,0,187,673,59,317,509,27,608
0610008F07Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610009B14Rik,0,0,0,3,0,0,0,0,0,0,0,0
0610009B22Rik,130,19,0,0,0,0,336,1,0,4,0,278
0610009D07Rik,350,353,13,146,7,139,543,81,433,444,77,80
0610009L18Rik,33,0,0,0,0,0,73,0,0,0,0,0
0610009O20Rik,196,352,18,3,151,71,580,17,461,1,538,175
0610010B08Rik,9,14,0,0,0,10,5,0,0,19,16,48
0610010F05Rik,283,566,0,528,7,238,288,158,64,49,6,284
0610010K14Rik,262,178,75,21,6,68,161,0,304,166,117,0
0610011F06Rik,81,190,1,0,36,0,279,0,0,103,24,403
0610012G03Rik,412,349,11,209,498,107,757,34,404,228,635,170
0610012H03Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610030E20Rik,323,290,14,377,17,269,63,128,92,222,94,28
0610031J06Rik,56,123,31,0,79,115,712,54,0,574,0,14
0610031O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610037L13Rik,193,411,108,3,680,292,1051,24,2,274,0,339
0610038B21Rik,0,0,0,0,0,0,0,1,0,0,0,0
0610038L08Rik,0,6,0,0,0,0,18,0,0,38,1,0
0610039K10Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610040B10Rik,56,4,0,0,10,0,36,21,0,1,0,1
0610040F04Rik,0,1,0,0,0,0,1,1,0,0,4,6
0610040J01Rik,0,0,0,0,0,100,0,0,0,0,0,0
0610043K17Rik,1,0,0,0,0,0,1,0,0,0,0,0
1100001G20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110001A16Rik,73,79,0,2,1,27,143,0,22,37,0,82
1110001J03Rik,115,13,0,275,20,36,35,0,0,62,0,109
1110002L01Rik,0,0,0,0,0,33,30,0,0,0,8,0
1110004E09Rik,435,312,1,4,2,2,722,81,20,219,346,1
1110004F10Rik,1732,1242,146,397,1309,265,3384,195,1165,1250,1684,384
1110006O24Rik,0,0,0,0,0,0,0,0,0,0,0,28
1110007C09Rik,7,28,0,0,0,8,0,0,0,0,0,113
1110008F13Rik,309,15,0,479,2,53,204,0,102,8,0,0
1110008J03Rik,25,116,0,5,1,0,228,0,0,0,0,0
1110008L16Rik,10,0,0,0,105,0,0,0,0,1,0,0
1110008P14Rik,611,347,5,196,467,159,855,1,868,324,385,765
1110012L19Rik,0,59,0,365,42,0,187,0,0,0,0,16
1110015O18Rik,0,31,0,0,0,3,0,0,0,0,0,0
1110017D15Rik,45,0,0,0,0,0,82,0,0,1,92,0
1110018G07Rik,960,594,354,4,1,571,1217,19,479,544,181,393
1110019D14Rik,0,23,0,3,0,0,0,0,0,0,0,4
1110020A21Rik,0,0,0,0,0,14,0,0,3,31,0,0
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,1,0,0,0,0,0,0,0,0,0,0,0
1110028F18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110032A03Rik,81,96,0,163,3,21,415,3,1,134,8,12
1110032F04Rik,0,0,0,0,27,0,146,0,0,0,0,0
1110034G24Rik,140,155,0,0,278,0,174,0,24,0,0,396
1110035M17Rik,0,14,4,1,0,0,14,0,0,0,0,0
1110036E04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110037F02Rik,719,582,59,2,9,571,1209,9,201,377,361,902
1110038B12Rik,178,187,0,0,152,101,130,34,80,132,1169,132
1110038F14Rik,155,421,11,249,45,10,827,43,441,557,271,627
1110046J04Rik,20,40,3,0,10,4,91,0,7,11,276,27
1110051M20Rik,1138,414,2,53,921,153,1672,0,825,124,1,681
1110054M08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110057K04Rik,271,106,69,933,172,136,810,38,5,60,79,380
1110058L19Rik,452,108,0,248,258,1,243,2,0,122,233,110
1110059E24Rik,201,111,0,0,0,0,2,0,350,175,163,6
1110059G10Rik,219,133,1,72,0,193,544,53,859,36,1,32
1110059M19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110065P20Rik,28,31,0,0,112,9,40,0,0,35,42,55
1190002F15Rik,0,0,0,0,0,0,0,0,2,0,0,0
1190002N15Rik,226,30,0,691,505,194,259,122,107,101,54,26
1190003J15Rik,0,0,0,0,0,0,37,0,0,0,0,0
1190003K10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1190005I06Rik,3,1,0,0,0,0,0,0,0,65,0,0
1190007I07Rik,8,1,0,0,3,24,18,2,1,17,0,0
1200011I18Rik,300,736,48,259,72,249,62,52,60,555,362,392
1200014J11Rik,309,510,105,808,124,249,605,122,106,313,675,1144
1300002E11Rik,139,241,0,0,7,9,44,42,194,2,740,42
1300002K09Rik,1,0,0,0,0,0,0,0,0,0,0,0
1300015D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1300017J02Rik,5,0,0,0,0,0,0,0,0,0,0,0
1300018J18Rik,0,1,0,1,0,0,70,0,0,53,0,0
1500002O10Rik,0,2,0,0,0,0,0,0,0,0,0,0
1500004A13Rik,214,169,0,0,54,50,671,1,12,3,44,138
1500009C09Rik,78,0,0,65,3,0,149,0,10,1,0,0
1500009L16Rik,36,142,0,0,0,94,346,0,214,0,0,10
1500011B03Rik,968,977,1,744,697,298,1868,9,963,857,131,731
1500011K16Rik,621,257,81,290,345,117,584,71,571,240,109,227
1500012F01Rik,135,116,1,110,279,24,32,13,0,119,123,100
1500012K07Rik,11,8,1,0,0,4,3,1,3,9,7,27
1500015A07Rik,137,226,0,0,0,4,451,1,168,257,313,298
1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500015O10Rik,0,0,0,1,0,0,0,0,0,0,0,0
1500016L03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500017E21Rik,20,0,0,0,0,0,37,0,33,0,1,0
1500032L24Rik,990,564,3,604,794,161,1199,221,890,629,166,568
1600002D24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600002H07Rik,270,276,5,7,4,174,291,0,361,386,978,450
1600002K03Rik,47,56,0,0,0,0,51,0,0,40,0,1
1600010M07Rik,1,9,0,0,2,2,5,0,1,0,0,3
1600012H06Rik,62,234,0,0,0,85,389,35,482,0,0,461
1600014C10Rik,606,242,0,279,0,0,980,1,107,15,0,48
1600014C23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600014K23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600016N20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,44,71,1,0,0,38,123,0,151,178,0,211
1600023N17Rik,0,0,0,0,0,0,65,0,0,0,0,0
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029D21Rik,75,7,0,0,2,6,18,3,0,77,249,29
1600029I14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029O15Rik,16,12,3,7,0,8,14,4,12,9,14,18
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001C19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001D01Rik,0,0,0,0,0,30,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0,0,0,0,0,0,0,0,5
1700001G17Rik,0,0,0,0,0,0,16,0,0,0,0,0
1700001J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J11Rik,1,4,0,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,23,0,0,0,1,22,0,0,40,0,26
1700001K23Rik,0,22,0,0,0,0,0,0,0,0,0,0
1700001L05Rik,0,0,0,1,0,80,0,0,0,0,0,56
1700001L19Rik,104,0,0,0,0,0,0,1,0,0,0,0
1700001O22Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700001P01Rik,0,36,0,0,0,39,4,0,0,32,0,0
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,7,0
1700003D09Rik,0,0,0,2,0,0,0,0,0,0,0,0
1700003E16Rik,0,121,0,0,5,1,1,0,318,125,0,27
1700003F12Rik,0,0,0,0,0,0,0,0,71,0,0,13
1700003F17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003G13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,7,0,0,0,4,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,3,0,0
1700003M02Rik,0,0,0,0,0,0,0,5,0,0,0,0
1700003M07Rik,36,39,1,8,66,8,4,17,184,33,46,76
1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,18,0,0,26,0,0
1700007G11Rik,0,0,0,0,0,0,0,0,0,88,0,0
1700007J10Rik,86,86,20,51,110,70,84,13,48,79,70,114
1700007K09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007K13Rik,0,0,0,31,0,0,18,0,0,51,0,48
1700007L15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007P06Rik,23,18,0,3,0,2,3,0,10,4,4,134
1700008A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008F21Rik,0,2,0,0,0,2,0,0,0,0,0,0
1700008I05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008J07Rik,0,37,0,0,0,12,16,0,31,33,0,11
1700008K24Rik,0,0,50,0,0,0,0,0,0,0,0,0
1700008O03Rik,13,2,47,7,24,8,137,6,21,52,4,21
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,6,5,9,3,3,3,3,0,3,8,11,19
1700010I14Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700010J16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,9,0,0
1700011A15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,5,0,0,0,0,0,0,0,65,0,0
1700011E24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011J10Rik,35,11,0,0,0,38,9,1,0,80,2,4
1700011L22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,7,0,0,0,0,0,0,0,0,0,0,22
1700012B15Rik,3,14,0,1,0,24,63,0,47,55,261,111
1700012D01Rik,0,0,0,0,0,1,0,0,0,0,46,0
1700012D14Rik,0,27,0,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700012L04Rik,0,0,0,0,0,0,0,0,0,0,2,0
1700012P22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013F07Rik,0,31,0,0,0,0,0,0,139,0,0,0
1700013G23Rik,0,0,0,0,0,0,3,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015E13Rik,0,0,0,0,0,0,0,0,0,0,207,0
1700015F17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
