,GSM3690875_HC_G15_htseq,GSM3690877_HC_G17_htseq,GSM3690876_HC_G16_htseq
0610005C13Rik,0,0,0
0610007N19Rik,0,0,0
0610007P14Rik,170,556,0
0610008F07Rik,0,0,0
0610009B14Rik,0,0,0
0610009B22Rik,174,0,2
0610009D07Rik,8,106,0
0610009L18Rik,0,89,0
0610009O20Rik,26,0,0
0610010B08Rik,0,0,0
0610010F05Rik,20,0,81
0610010K14Rik,28,738,1
0610011F06Rik,25,107,0
0610012G03Rik,100,1153,44
0610012H03Rik,0,0,0
0610030E20Rik,78,20,16
0610031J06Rik,199,3,0
0610031O16Rik,0,0,0
0610037L13Rik,11,0,0
0610038B21Rik,0,0,0
0610038L08Rik,0,0,0
0610039K10Rik,0,0,0
0610040B10Rik,0,0,0
0610040F04Rik,0,0,0
0610040J01Rik,0,0,0
0610043K17Rik,26,0,0
1100001G20Rik,0,0,0
1110001A16Rik,0,241,11
1110001J03Rik,0,460,0
1110002L01Rik,0,0,0
1110004E09Rik,166,3,23
1110004F10Rik,170,238,187
1110006O24Rik,0,0,0
1110007C09Rik,0,0,0
1110008F13Rik,0,0,0
1110008J03Rik,2,7,54
1110008L16Rik,0,0,0
1110008P14Rik,70,10,31
1110012L19Rik,27,159,0
1110015O18Rik,0,0,0
1110017D15Rik,0,0,0
1110018G07Rik,203,0,5
1110019D14Rik,3,0,0
1110020A21Rik,27,0,0
1110025L11Rik,0,0,0
1110028F11Rik,0,0,0
1110028F18Rik,0,0,0
1110032A03Rik,12,322,3
1110032F04Rik,0,0,0
1110034G24Rik,0,0,105
1110035M17Rik,0,0,0
1110036E04Rik,0,0,0
1110037F02Rik,119,16,1
1110038B12Rik,0,0,0
1110038F14Rik,50,238,0
1110046J04Rik,9,25,4
1110051M20Rik,160,362,2
1110054M08Rik,0,0,0
1110057K04Rik,178,8,45
1110058L19Rik,49,89,35
1110059E24Rik,67,0,7
1110059G10Rik,91,302,2
1110059M19Rik,0,0,0
1110065P20Rik,0,0,0
1190002F15Rik,0,8,0
1190002N15Rik,80,5,5
1190003J15Rik,0,0,0
1190003K10Rik,0,0,0
1190005I06Rik,4,0,10
1190007I07Rik,17,58,0
1200011I18Rik,62,86,38
1200014J11Rik,627,166,605
1300002E11Rik,101,20,0
1300002K09Rik,0,0,0
1300015D01Rik,0,0,0
1300017J02Rik,0,0,0
1300018J18Rik,0,61,0
1500002O10Rik,0,0,0
1500004A13Rik,4,0,0
1500009C09Rik,11,162,418
1500009L16Rik,2,0,0
1500011B03Rik,157,108,9
1500011K16Rik,1,45,141
1500012F01Rik,97,283,102
1500012K07Rik,1,0,0
1500015A07Rik,0,19,0
1500015L24Rik,0,0,0
1500015O10Rik,0,0,0
1500016L03Rik,37,0,0
1500017E21Rik,0,0,0
1500032L24Rik,96,696,117
1600002D24Rik,0,0,0
1600002H07Rik,6,7,0
1600002K03Rik,0,337,0
1600010M07Rik,0,0,7
1600012H06Rik,26,544,3
1600014C10Rik,0,0,0
1600014C23Rik,0,0,0
1600014K23Rik,0,0,0
1600015I10Rik,0,0,0
1600016N20Rik,0,0,0
1600019K03Rik,0,0,0
1600020E01Rik,0,0,0
1600023N17Rik,0,0,0
1600025M17Rik,0,0,0
1600029D21Rik,14,2,3
1600029I14Rik,0,0,0
1600029O15Rik,23,4,16
1700001C02Rik,0,0,0
1700001C19Rik,0,0,0
1700001D01Rik,0,0,0
1700001F09Rik,0,0,0
1700001G11Rik,0,0,0
1700001G17Rik,0,0,0
1700001J03Rik,0,0,0
1700001J11Rik,0,0,0
1700001K19Rik,0,0,0
1700001K23Rik,0,0,0
1700001L05Rik,2,0,0
1700001L19Rik,17,0,192
1700001O22Rik,0,4,0
1700001P01Rik,0,0,0
1700003C15Rik,0,0,1
1700003D09Rik,0,0,0
1700003E16Rik,5,1,0
1700003F12Rik,0,0,0
1700003F17Rik,0,0,0
1700003G13Rik,0,0,0
1700003G18Rik,0,0,0
1700003H04Rik,0,0,0
1700003L19Rik,0,0,0
1700003M02Rik,0,0,0
1700003M07Rik,51,30,17
1700003P14Rik,0,0,0
1700006A11Rik,0,0,0
1700006E09Rik,0,0,0
1700006F04Rik,0,0,0
1700006H21Rik,0,0,0
1700007B14Rik,0,31,0
1700007F19Rik,4,0,0
1700007G11Rik,0,0,0
1700007J10Rik,244,296,104
1700007K09Rik,9,0,0
1700007K13Rik,0,0,0
1700007L15Rik,0,0,0
1700007P06Rik,0,0,2
1700008A04Rik,0,0,0
1700008F21Rik,0,0,8
1700008I05Rik,0,0,0
1700008J07Rik,0,0,0
1700008K24Rik,0,0,0
1700008O03Rik,4,10,0
1700008P02Rik,0,0,0
1700009C05Rik,0,0,0
1700009J07Rik,0,0,0
1700009N14Rik,0,0,0
1700009P17Rik,0,0,3
1700010B08Rik,0,0,0
1700010D01Rik,0,0,0
1700010I02Rik,12,1,2
1700010I14Rik,0,0,0
1700010J16Rik,0,0,0
1700010K23Rik,0,0,0
1700011A15Rik,0,0,0
1700011B04Rik,0,0,0
1700011E24Rik,0,0,0
1700011H14Rik,0,0,0
1700011I03Rik,0,0,0
1700011J10Rik,0,199,0
1700011L22Rik,0,0,0
1700011M02Rik,0,0,0
1700012A03Rik,0,0,0
1700012B07Rik,0,0,0
1700012B09Rik,0,0,0
1700012B15Rik,4,0,0
1700012D01Rik,0,0,0
1700012D14Rik,0,0,0
1700012I11Rik,0,0,0
1700012L04Rik,0,0,0
1700012P22Rik,0,0,0
1700013D24Rik,0,0,0
1700013F07Rik,0,0,0
1700013G23Rik,0,0,0
1700013G24Rik,0,0,0
1700013H16Rik,0,0,0
1700015E13Rik,0,0,2
1700015F17Rik,0,0,0
1700015G11Rik,0,0,0
1700016C15Rik,0,0,0
1700016D06Rik,21,3,0
1700016G22Rik,0,0,0
1700016H13Rik,0,0,0
1700016K19Rik,0,0,45
1700016L04Rik,0,0,0
1700016L21Rik,0,0,0
1700016P04Rik,0,0,0
1700017B05Rik,0,0,0
1700017D01Rik,0,0,0
1700017G19Rik,0,0,0
1700017J07Rik,0,0,0
1700017N19Rik,0,0,0
1700018A04Rik,0,0,0
1700018B08Rik,0,0,0
1700018B24Rik,0,0,0
1700018C11Rik,0,0,0
1700018F24Rik,0,0,0
1700018G05Rik,0,0,0
1700018L02Rik,0,0,0
1700019A02Rik,0,0,0
1700019B03Rik,0,0,0
1700019B21Rik,0,0,14
1700019D03Rik,2,0,0
1700019E08Rik,0,0,0
1700019G17Rik,0,0,0
1700019G24Rik,0,0,0
1700019L03Rik,0,0,0
1700019M22Rik,0,0,0
1700019N19Rik,0,0,0
1700019O17Rik,0,0,0
1700020A23Rik,0,0,0
1700020D05Rik,0,365,0
1700020G17Rik,0,0,0
1700020I14Rik,71,118,32
1700020L24Rik,0,0,0
1700020M21Rik,0,0,0
1700020N01Rik,0,0,0
1700020N15Rik,0,0,0
1700020N18Rik,0,0,0
1700021F05Rik,0,616,0
1700021F07Rik,0,0,0
1700021K19Rik,375,580,0
1700021N21Rik,0,0,0
1700022A21Rik,0,0,0
1700022A22Rik,0,0,0
1700022E09Rik,0,0,0
1700022H16Rik,0,0,0
1700022I11Rik,0,0,0
1700022P22Rik,0,0,0
1700023A16Rik,0,0,23
1700023C21Rik,0,0,0
1700023E05Rik,0,0,0
1700023F02Rik,0,0,0
1700023F06Rik,0,39,52
1700023L04Rik,0,0,0
1700024B18Rik,0,0,0
1700024F13Rik,0,0,0
1700024G13Rik,111,0,0
1700024P03Rik,0,0,0
1700024P04Rik,0,0,0
1700024P16Rik,0,0,0
1700025B11Rik,0,0,0
1700025C18Rik,0,0,0
1700025E21Rik,0,0,0
1700025F22Rik,0,0,0
1700025F24Rik,0,0,0
1700025G04Rik,82,167,29
1700025K24Rik,0,0,0
1700025M24Rik,0,0,0
1700025N23Rik,53,31,28
1700026D08Rik,0,0,0
1700026D11Rik,0,0,0
1700026F02Rik,0,0,0
1700026L06Rik,0,0,0
1700027A15Rik,0,0,0
1700027F09Rik,0,0,0
1700027H10Rik,0,0,0
1700027I24Rik,0,0,0
1700027J07Rik,0,0,0
1700028B04Rik,0,0,0
1700028D13Rik,0,0,0
1700028E10Rik,0,0,0
1700028I16Rik,0,0,0
1700028J19Rik,0,0,0
1700028K03Rik,0,0,0
1700028M03Rik,0,0,0
1700028P14Rik,0,0,0
1700028P15Rik,0,0,0
1700029B22Rik,0,0,0
1700029F12Rik,0,0,0
1700029H14Rik,0,0,0
1700029I15Rik,0,0,0
1700029J03Rik,0,0,0
1700029J07Rik,5,1,2
1700029M20Rik,0,0,0
1700029N11Rik,0,0,0
1700029P11Rik,0,0,0
1700030A11Rik,0,0,0
1700030C10Rik,11,0,1
1700030F04Rik,0,0,0
1700030F18Rik,0,0,0
1700030J22Rik,24,226,0
1700030K09Rik,82,0,0
1700030L20Rik,0,0,0
1700030M09Rik,0,0,0
1700030N03Rik,0,0,0
1700030O20Rik,0,0,0
1700031A10Rik,0,0,0
1700031F05Rik,0,0,0
1700031M16Rik,0,0,0
1700031P21Rik,0,0,0
1700034E13Rik,0,0,0
1700034F02Rik,0,0,0
1700034G24Rik,0,0,0
1700034H15Rik,11,15,8
1700034I23Rik,36,0,0
1700034J05Rik,0,0,1
1700034K08Rik,0,0,0
1700034O15Rik,0,0,0
1700034P13Rik,0,0,0
1700036G14Rik,0,0,0
1700037C18Rik,0,0,0
1700037H04Rik,72,3,15
1700039E15Rik,0,0,0
1700039E22Rik,0,0,0
1700040L02Rik,0,0,0
1700040N02Rik,16,1,0
1700041C23Rik,0,0,0
1700041M19Rik,0,0,0
1700042B14Rik,0,0,0
1700042G07Rik,0,0,0
1700042G15Rik,0,0,0
1700042O10Rik,0,0,0
1700044C05Rik,0,0,0
1700044K03Rik,0,0,0
1700045H11Rik,0,0,0
1700045I19Rik,0,30,0
1700046C09Rik,0,0,0
1700047E10Rik,17,41,167
1700047G03Rik,0,0,0
1700047I17Rik2,0,0,0
1700047L14Rik,0,0,0
1700047M11Rik,0,0,23
1700048M11Rik,0,0,0
1700048O20Rik,182,30,25
1700049E15Rik,0,0,0
