,GSM3690881_NS_G18_htseq,GSM3690883_NS_G20_htseq,GSM3690882_NS_G19_htseq,GSM3690884_NS_G21_htseq
0610005C13Rik,0,0,0,0
0610007N19Rik,0,0,0,0
0610007P14Rik,275,355,1,421
0610008F07Rik,0,0,0,0
0610009B14Rik,0,0,0,0
0610009B22Rik,24,0,2,0
0610009D07Rik,220,579,35,934
0610009L18Rik,0,0,0,0
0610009O20Rik,112,183,43,0
0610010B08Rik,0,31,15,0
0610010F05Rik,308,139,69,472
0610010K14Rik,150,26,4,0
0610011F06Rik,345,0,116,53
0610012G03Rik,283,221,17,322
0610012H03Rik,0,0,0,0
0610030E20Rik,24,119,37,50
0610031J06Rik,392,0,6,1
0610031O16Rik,0,0,0,0
0610037L13Rik,0,467,21,6
0610038B21Rik,0,0,0,0
0610038L08Rik,0,0,0,0
0610039K10Rik,0,0,0,0
0610040B10Rik,0,0,0,0
0610040F04Rik,0,0,0,0
0610040J01Rik,0,0,0,0
0610043K17Rik,0,0,4,0
1100001G20Rik,0,0,0,0
1110001A16Rik,46,0,2,11
1110001J03Rik,100,15,0,0
1110002L01Rik,0,0,11,0
1110004E09Rik,217,3,10,156
1110004F10Rik,894,137,512,746
1110006O24Rik,0,0,0,0
1110007C09Rik,0,4,0,0
1110008F13Rik,21,0,0,0
1110008J03Rik,33,5,2,36
1110008L16Rik,4,0,0,0
1110008P14Rik,560,456,175,12
1110012L19Rik,0,0,0,0
1110015O18Rik,0,0,0,0
1110017D15Rik,1,0,0,0
1110018G07Rik,65,248,251,0
1110019D14Rik,0,0,0,2
1110020A21Rik,0,0,0,0
1110025L11Rik,0,0,0,0
1110028F11Rik,0,0,0,0
1110028F18Rik,0,0,0,0
1110032A03Rik,3,3,43,31
1110032F04Rik,0,0,0,11
1110034G24Rik,49,0,0,0
1110035M17Rik,0,0,24,0
1110036E04Rik,0,0,0,0
1110037F02Rik,126,120,67,57
1110038B12Rik,325,0,0,108
1110038F14Rik,155,99,437,69
1110046J04Rik,14,10,13,10
1110051M20Rik,1004,321,24,0
1110054M08Rik,0,107,0,0
1110057K04Rik,91,103,45,6
1110058L19Rik,173,162,5,0
1110059E24Rik,30,0,368,1
1110059G10Rik,7,0,6,0
1110059M19Rik,0,0,0,0
1110065P20Rik,0,0,0,0
1190002F15Rik,0,0,0,0
1190002N15Rik,403,34,59,30
1190003J15Rik,0,0,0,0
1190003K10Rik,0,0,0,0
1190005I06Rik,135,0,0,339
1190007I07Rik,53,0,3,0
1200011I18Rik,66,47,89,918
1200014J11Rik,359,275,264,166
1300002E11Rik,88,224,2,1
1300002K09Rik,0,0,0,0
1300015D01Rik,0,0,0,0
1300017J02Rik,0,0,0,0
1300018J18Rik,0,0,0,0
1500002O10Rik,0,0,0,0
1500004A13Rik,62,0,18,1
1500009C09Rik,1,4,2,75
1500009L16Rik,68,101,340,0
1500011B03Rik,929,203,174,490
1500011K16Rik,400,353,164,389
1500012F01Rik,110,0,1,5
1500012K07Rik,0,0,18,6
1500015A07Rik,2,0,0,0
1500015L24Rik,0,0,0,0
1500015O10Rik,0,0,1,0
1500016L03Rik,104,0,0,0
1500017E21Rik,0,0,0,0
1500032L24Rik,536,670,425,941
1600002D24Rik,0,0,0,0
1600002H07Rik,21,6,9,12
1600002K03Rik,0,0,0,0
1600010M07Rik,0,1,0,0
1600012H06Rik,307,1,0,0
1600014C10Rik,0,0,0,2
1600014C23Rik,0,0,0,0
1600014K23Rik,0,0,0,0
1600015I10Rik,0,0,0,0
1600016N20Rik,0,0,0,0
1600019K03Rik,0,0,0,0
1600020E01Rik,133,0,0,0
1600023N17Rik,0,0,0,0
1600025M17Rik,0,0,0,0
1600029D21Rik,6,2,4,2
1600029I14Rik,0,0,0,0
1600029O15Rik,12,3,26,2
1700001C02Rik,0,0,0,0
1700001C19Rik,0,0,0,0
1700001D01Rik,0,0,0,0
1700001F09Rik,0,0,0,0
1700001G11Rik,0,0,0,0
1700001G17Rik,0,0,0,0
1700001J03Rik,0,0,0,0
1700001J11Rik,0,0,0,0
1700001K19Rik,0,0,0,0
1700001K23Rik,0,0,0,0
1700001L05Rik,1,0,0,0
1700001L19Rik,5,6,16,0
1700001O22Rik,0,0,0,0
1700001P01Rik,0,0,0,0
1700003C15Rik,0,0,0,0
1700003D09Rik,0,0,0,0
1700003E16Rik,1,38,17,0
1700003F12Rik,0,0,0,0
1700003F17Rik,0,0,0,0
1700003G13Rik,0,0,0,0
1700003G18Rik,0,0,0,0
1700003H04Rik,0,0,0,0
1700003L19Rik,0,0,0,0
1700003M02Rik,0,0,0,0
1700003M07Rik,35,26,58,20
1700003P14Rik,0,0,0,0
1700006A11Rik,0,0,0,0
1700006E09Rik,0,0,0,0
1700006F04Rik,0,0,0,0
1700006H21Rik,0,0,0,0
1700007B14Rik,0,0,0,0
1700007F19Rik,0,0,0,0
1700007G11Rik,0,0,0,0
1700007J10Rik,150,308,108,104
1700007K09Rik,0,0,0,0
1700007K13Rik,0,0,0,0
1700007L15Rik,55,0,0,0
1700007P06Rik,2,11,0,0
1700008A04Rik,0,0,0,0
1700008F21Rik,0,0,0,0
1700008I05Rik,0,0,0,0
1700008J07Rik,0,116,0,0
1700008K24Rik,0,0,0,0
1700008O03Rik,1,19,16,12
1700008P02Rik,0,0,0,0
1700009C05Rik,0,0,0,0
1700009J07Rik,0,0,0,0
1700009N14Rik,0,0,0,0
1700009P17Rik,0,0,0,0
1700010B08Rik,0,0,0,0
1700010D01Rik,0,0,0,0
1700010I02Rik,4,18,11,8
1700010I14Rik,0,0,0,0
1700010J16Rik,0,0,0,0
1700010K23Rik,0,0,0,0
1700011A15Rik,0,0,0,0
1700011B04Rik,0,0,0,0
1700011E24Rik,0,0,0,0
1700011H14Rik,0,0,0,0
1700011I03Rik,0,0,0,0
1700011J10Rik,80,78,14,0
1700011L22Rik,0,0,0,0
1700011M02Rik,0,0,0,0
1700012A03Rik,1,0,0,0
1700012B07Rik,0,0,0,0
1700012B09Rik,0,0,0,0
1700012B15Rik,58,3,11,0
1700012D01Rik,0,0,0,0
1700012D14Rik,18,0,0,0
1700012I11Rik,0,0,0,0
1700012L04Rik,0,0,0,0
1700012P22Rik,0,0,0,0
1700013D24Rik,0,0,0,0
1700013F07Rik,0,8,0,0
1700013G23Rik,84,0,0,0
1700013G24Rik,0,0,0,0
1700013H16Rik,0,0,0,0
1700015E13Rik,0,0,0,0
1700015F17Rik,0,0,0,0
1700015G11Rik,0,0,0,0
1700016C15Rik,0,0,0,0
1700016D06Rik,27,15,30,0
1700016G22Rik,0,0,0,0
1700016H13Rik,0,0,0,0
1700016K19Rik,0,0,0,0
1700016L04Rik,0,0,0,0
1700016L21Rik,0,0,0,0
1700016P04Rik,0,0,0,0
1700017B05Rik,3,24,1,0
1700017D01Rik,0,0,0,0
1700017G19Rik,0,0,0,0
1700017J07Rik,0,0,0,0
1700017N19Rik,0,0,0,0
1700018A04Rik,0,0,0,0
1700018B08Rik,0,0,0,0
1700018B24Rik,0,0,0,0
1700018C11Rik,0,0,0,0
1700018F24Rik,0,0,0,0
1700018G05Rik,0,0,0,0
1700018L02Rik,0,0,0,0
1700019A02Rik,0,0,0,0
1700019B03Rik,0,0,0,0
1700019B21Rik,0,0,0,0
1700019D03Rik,6,363,218,0
1700019E08Rik,0,0,0,0
1700019G17Rik,0,0,0,0
1700019G24Rik,14,0,0,0
1700019L03Rik,0,0,0,0
1700019M22Rik,0,0,5,0
1700019N19Rik,0,0,0,0
1700019O17Rik,0,0,0,0
1700020A23Rik,0,0,0,0
1700020D05Rik,0,0,0,0
1700020G17Rik,0,0,0,0
1700020I14Rik,408,113,248,53
1700020L24Rik,0,0,0,0
1700020M21Rik,0,0,0,0
1700020N01Rik,0,38,0,0
1700020N15Rik,0,0,0,0
1700020N18Rik,0,0,0,0
1700021F05Rik,0,283,2,0
1700021F07Rik,0,0,0,0
1700021K19Rik,1060,48,1,3
1700021N21Rik,0,0,0,0
1700022A21Rik,0,0,0,0
1700022A22Rik,0,0,0,0
1700022E09Rik,0,0,0,0
1700022H16Rik,0,0,0,0
1700022I11Rik,0,0,0,0
1700022P22Rik,0,0,0,0
1700023A16Rik,0,0,0,0
1700023C21Rik,0,0,0,0
1700023E05Rik,0,0,0,0
1700023F02Rik,0,0,0,0
1700023F06Rik,0,0,0,0
1700023L04Rik,0,0,0,0
1700024B18Rik,0,0,1,0
1700024F13Rik,0,0,0,0
1700024G13Rik,0,0,0,0
1700024P03Rik,0,0,0,0
1700024P04Rik,0,0,0,0
1700024P16Rik,0,31,0,0
1700025B11Rik,0,0,0,0
1700025C18Rik,0,0,0,0
1700025E21Rik,0,0,0,0
1700025F22Rik,0,0,0,0
1700025F24Rik,0,0,0,0
1700025G04Rik,195,119,120,116
1700025K24Rik,0,2,0,0
1700025M24Rik,0,0,0,0
1700025N23Rik,55,37,21,2
1700026D08Rik,0,0,0,0
1700026D11Rik,0,0,0,0
1700026F02Rik,0,0,0,0
