,ERG
SRSF10>CEP290,1
ADGRG1>PRPF8,1
SRSF8>PCGF2,1
RBFOX2>ARPC5,1
SPG7>ILF3-DT,1
ATP1A1>MAGEH1,1
ADGRG1>GFOD1,1
COPA>RB1CC1,1
ADGRG1>RB1CC1,1
PRPF40A>EPB41L4A-AS1,1
SEC63>EPB41L4A-AS1,1
ATP1A1>TMEM204,1
ATP1A1>PRPF8,1
SPNS2>AHCTF1,1
C6orf62>RNF11,1
RLIM>IGF2R,1
SMIM30>IGF2R,1
TSPO>MRPL41,1
PLD3>SMIM30,1
TIPRL>SPNS2,1
TRIM69>PLD3,1
PSMA3-AS1>TIPRL,1
FSCN1>PIBF1,1
UBA6>HS3ST1,1
TIMM8B>SELENON,1
SNRPE>RAB5IF,1
MRPS18C>ATP5MC1,1
EGLN1>TIMMDC1,1
HYAL1>PPP6C,1
CAP1>ARHGEF1,1
SNX2>RALY,1
STXBP3>PPIP5K2,1
SRP72>PPIP5K2,1
UTP11>TNS1,1
DNAJB12>POLR2F,1
CORO1B>BOLA3,1
SNX2>BOLA3,1
RTCB>BOLA3,1
SAFB2>AHCTF1,1
SERINC1>LMO4,1
CLIC2>SPTLC1,1
SERINC1>BIRC2,1
NFE2L1>ANKRD17,1
CGGBP1>TEX264,1
CTR9>CGGBP1,1
RPS6KA2>GOLPH3,1
CLIC2>PSMD14,1
CLIC2>LYPLA1,1
MMADHC>TIPARP,1
GADD45GIP1>LYRM1,1
MRPS18C>GLUL,1
EPRS>LSM4,1
CHMP2A>MAGT1,1
GALNT18>AGO2,1
TCEAL8>DNAJC19,1
HLA-DMB>EIF4E,1
MTCH1>PYURF,1
HACD3>UBE2R2,1
PTP4A3>RALA,1
UHMK1>ETF1,1
UHMK1>NOSIP,1
TCF7L2>MIF,1
CADPS2>AP3S1,1
SH2D3C>AP3S1,1
UBE2N>POLR3GL,1
UBE2R2>OSBPL9,1
ALKBH7>RUNX1T1,1
HACD3>ZC3HAV1,1
SMIM26>CNIH4,1
HAPLN3>BEND7,1
PTPN14>PTP4A3,1
EIF4A3>ZFAND1,1
RERE>MMRN1,1
ZFAND1>FUT11,1
C4orf3>EIF6,1
SEC23A>LSG1,1
HIP1>TOMM22,1
EIF4E>PTK2B,1
HIF1A>DDRGK1,1
RPL22L1>TMX3,1
SEMA6B>TMX3,1
SEMA6B>TXNL1,1
CPT1A>YTHDF3,1
CCDC82>OLA1,1
ARPC1A>GLTP,1
NRP2>PLEKHB2,1
IMMT>MTCH1,1
FKBP8>DENR,1
LUZP1>TSPAN9,1
DNAJC19>DNAJC10,1
ATF2>ARL5B,1
SRP9>UQCR10,1
ATM>CYBC1,1
ARL5B>ATF2,1
MRPL19>ARCN1,1
PPP4R1>MRPL19,1
SUMO1>PPP6R3,1
ARHGDIA>PAIP2,1
FAM200B>MRPL22,1
YIPF5>WDR82,1
COPS2>PRNP,1
SMDT1>RFC1,1
RBX1>CTTN,1
RFC1>PTEN,1
YIPF5>ITPR1,1
SPG7>IKBKB,1
NDUFV3>STXBP1,1
MUM1>DECR1,1
CTSZ>PTPN14,1
RTN3>PELO,1
PCYOX1>EIF2AK1,1
USP12>SLC1A5,1
MBTPS1>URI1,1
CPLX1>SPPL2A,1
ZC3H15>GPR108,1
HOXB7>GNL1,1
MRPL22>ADM5,1
PSMA1>NT5C3A,1
CLIC4>DPM3,1
SERTAD3>DOCK1,1
AURKAIP1>AKR1A1,1
MDFIC>AKR1A1,1
RANBP1>MBNL2,1
AURKAIP1>PPP4R1,1
MDN1>VASP,1
RBFOX2>PPIP5K2,1
H2AFX>SOS2,1
MDN1>TYMP,1
PPP2R2A>PDCD2,1
EXOC7>PDCD2,1
C1orf21>CPLX1,1
SDHA>TXNRD1,1
SPG7>ATF7IP,1
EXOC7>PPP2CB,1
FRY>TNRC6C,1
ICA1>POLR2F,1
MAGT1>ACAT1,1
OSBPL8>DFFA,1
ARPP19>PSMA3-AS1,1
POLR2K>PRKCSH,1
ACAT1>SLC30A7,1
PCMTD2>BCL6,1
MBD2>UBE2L3,1
PSIP1>KPNA4,1
ZNHIT1>RIPOR1,1
CREBZF>HARS,1
MDM4>PCSK7,1
CERS2>TOB2,1
MBD2>PSMD12,1
PRKAA1>ANP32A,1
PCF11>MAFB,1
PRDX6>GPATCH8,1
SERP1>NLRP1,1
TMEM273>MAPK1IP1L,1
IL3RA>LAMTOR2,1
TROVE2>RPAP2,1
VKORC1>HEXB,1
COX7A2>SERP1,1
PHF11>ATF6,1
HS3ST1>ARHGAP23,1
PLOD3>WDR13,1
EPS8>WDR13,1
RAD23B>WDR13,1
FAT4>SPAG7,1
SMARCC2>PHPT1,1
LPGAT1>MPDZ,1
MAGT1>CNDP2,1
SPEN>OSBPL8,1
MTCH1>FAAP20,1
PUM1>CGNL1,1
SINHCAF>DDRGK1,1
THBS1>IGF2R,1
EIF3D>THBS1,1
MT2A>GFOD1,1
THBS1>SSNA1,1
TBC1D1>ESD,1
TERF2IP>MAGEH1,1
ID1>TSPYL2,1
CCZ1>PSMA2,1
TAF1>PLEKHG2,1
GPI>AHCTF1,1
ANXA4>CGNL1,1
ZNF800>POLR2G,1
GPI>BRD3,1
TERF2IP>ROBO1,1
GPI>SHOC2,1
RBM22>SHOC2,1
ID1>RPAIN,1
RPAIN>DGKH,1
GPI>PRKAR2A,1
PRKAR2A>KPNB1,1
GPI>IDI1,1
PRKAR2A>OTUD4,1
NDUFB1>ANXA4,1
THBS1>SLC25A29,1
GABARAPL1>POLR2G,1
NCBP3>OSBPL8,1
MYLIP>COL4A3BP,1
VDAC1>SMARCE1,1
UPF3A>WAPL,1
UPF3A>NRDC,1
SUMF2>PNP,1
SAV1>PPP1R18,1
PNP>PPP1R18,1
SUMF2>NT5C3A,1
HYAL1>HPCAL1,1
PRKD3>NENF,1
CISD1>SRP54,1
SRP54>CXCL2,1
PTPN12>SUGP2,1
TM7SF3>PDLIM3,1
KCNQ1OT1>UBN1,1
ZBTB1>IRAK3,1
TSPAN18>IRAK3,1
AFF1>MYO5C,1
ZNF800>NCBP3,1
TGFB1I1>ZNF800,1
TBC1D1>ZNF800,1
SINHCAF>DNASE1L1,1
OSBPL8>FNTA,1
ATP5PD>RBM5,1
AMOTL2>UVRAG,1
SUPT4H1>RTL8C,1
EIF1B>STXBP1,1
ALDH2>NXN,1
SNRNP70>YIPF4,1
CDC123>ARL1,1
CUL5>TGFB1,1
PTPN11>SNHG9,1
CTSL>MLKL,1
JAG2>CDC123,1
LTC4S>CTTN,1
NSA2>CASKIN2,1
JAGN1>STRN3,1
EXOC6>ABCF1,1
N4BP1>PRPSAP1,1
USP48>NDUFV1,1
TSG101>EIF2S1,1
EMC4>GLG1,1
TEK>POLR2J,1
CYLD>CEP290,1
DPP8>PAFAH1B1,1
YME1L1>PAFAH1B1,1
KMT5A>NIFK,1
DPP8>NFATC3,1
TAOK3>NFATC3,1
PSMC3>LONP2,1
NAA20>DPP8,1
DNAJC1>SMU1,1
IQCK>ZNF24,1
COX7A2L>SSNA1,1
TNS1>PPP1R12A,1
TAOK3>DNAJC1,1
DNASE2>STRAP,1
CEP112>UBE2K,1
TCEA1>C2CD2,1
ATF6>CHD2,1
TCEA1>RBM23,1
MAP4K5>RB1CC1,1
TAF1>HEBP2,1
STRAP>DNASE2,1
MLF2>PLA2G16,1
DNASE2>NDUFV1,1
NDUFV1>EIF4A3,1
CDC26>CSNK1G3,1
VAMP3>NENF,1
TCEAL8>VCP,1
IRX3>DNAJC19,1
MIR99AHG>PKN1,1
CDC42BPA>ZNF146,1
EPS8>SMIM37,1
NDUFA8>SMIM37,1
FLNA>RNF10,1
RBM22>GYPC,1
FLNA>CACYBP,1
RBM22>NACC2,1
TNS1>MBTPS1,1
OSBPL1A>RERE,1
ERG>ERG.1,1
ERG.1>ERG,1
ATP6V1G1>PPP6C,1
H2AFJ>TAF11,1
AP2S1>PSMD1,1
SMAD9>AMD1,1
SURF4>MSL1,1
LRRC8C>MED13L,1
SURF4>POGZ,1
CLN5>TRIM28,1
LRRC8C>SURF4,1
AHCYL1>DCAF5,1
SURF4>HMBOX1,1
SURF4>PPP2R1A,1
AHCYL1>STRAP,1
TXNDC17>CSRP1,1
CALCOCO1>CGGBP1,1
RAB14>CEP57,1
MRPS15>FAM241A,1
CTNND1>TTC1,1
SUN1>LSG1,1
SELP>PEA15,1
SUZ12>LSM12,1
ARPC2>RAPGEF4,1
PUM2>BRD3,1
TAF15>SUN2,1
CREBBP>PLEKHG1,1
ATP5MF>UFD1,1
BIRC3>ZNFX1,1
ZNFX1>BIRC3,1
DDX60>ARID5A,1
PROCR>RASAL2,1
DPYSL3>PLEKHA1,1
EXOC5>RLIM,1
DNAJA2>EVL,1
CNDP2>SLU7,1
DNAJA2>NTAN1,1
NDUFA6>RAB22A,1
RERE>MAP7D1,1
FBN1>RASSF9,1
ARPP19>UQCR10,1
NDUFA6>DCHS1,1
FAM89A>VPS29,1
EIF5A>NDUFB11,1
AP2S1>IFI44,1
CTSA>GLS,1
SMAD1>EPN1,1
PROCR>TBC1D15,1
MAN1A2>CFAP97,1
CYBC1>LUC7L2,1
TMEM245>LUC7L2,1
EIF5A>SINHCAF,1
CTSA>EFHD2,1
EAPP>TMEM18,1
BIRC6>TCF7L1,1
CALCOCO1>DNASE1L1,1
CEP112>TOP2B,1
LAMA5>COPS2,1
TAF1>ZNF43,1
CAVIN1>SMARCC2,1
MTIF3>NRN1,1
KPNA6>MMADHC,1
FRG1>C1QBP,1
CHD3>CHD2,1
PSMA1>HEXA,1
SUGP2>HADHB,1
SUGP2>CLNS1A,1
CLNS1A>TRIM28,1
CLNS1A>ZYX,1
SUGP2>ZYX,1
KDELR1>TRAPPC1,1
SECISBP2>LYST,1
PXN>ADAMTSL1,1
KDELR1>CAB39,1
PSMB4>S100A4,1
PSMB4>ZNF706,1
DAB2>SNRNP70,1
DAB2>UBR4,1
PIEZO1>STMN1,1
IRF2>MAFF,1
RRAGA>MRPS21,1
PPP4C>EWSR1,1
RRAGA>FAM107B,1
TULP4>FAM3C,1
SEC22C>YWHAG,1
ELMSAN1>PEAK1,1
DUSP5>MRPL34,1
CCND2>FRMD4A,1
SUGT1>SHROOM4,1
SHROOM4>SEMA6B,1
TMEM230>ATP11C,1
TGS1>CHD7,1
MRPL22>POLR2B,1
DIS3>DENR,1
UBE2N>TMEM230,1
PARP9>PHC3,1
ZBTB38>CTSS,1
UQCRQ>SUMO3,1
WTAP>ARL3,1
MGAT1>HIPK2,1
FLOT2>VAMP2,1
TTC14>PDS5B,1
NOL8>TMX1,1
CCND2>RBP7,1
PIK3C2A>ROCK1,1
ZNF281>HLA-DOA,1
ZNF721>EML1,1
CIB1>NOL8,1
ZNF281>AGO2,1
ZNF281>TEAD1,1
MGAT1>TOMM22,1
CD59>DUSP6,1
