,PTEN
MRPS15>NXN,1
FKBP8>LPCAT4,1
GIGYF2>PPP6C,1
SFT2D2>EXOC4,1
SFT2D2>PROS1,1
CASKIN2>YIPF4,1
ZMIZ1>GLRX5,1
CEP57>MCRIP1,1
JTB>BCL6,1
DCHS1>REV1,1
GLRX5>DCHS1,1
GCNT2>DHX29,1
SUPT6H>RC3H1,1
GTF3C6>RC3H1,1
CYBC1>SSU72,1
GATA2>SCOC,1
CARHSP1>TFG,1
DDX60>CINP,1
PPIG>NDRG2,1
APC>DBNL,1
TOP2B>GRB10,1
STAT3>TBC1D5,1
CDC27>ARPC5L,1
PPP6C>GIGYF2,1
HEBP2>DDT,1
RBBP4>SLCO3A1,1
TEAD1>SPNS2,1
SMARCA5>YIPF5,1
LPCAT4>PIK3CA,1
SEMA3F>NDUFB6,1
ADAMTS9>MAF1,1
PRDX6>NR1D2,1
FAM32A>NR1D2,1
SETD2>H2AFJ,1
RBL2>THUMPD1,1
GSPT1>YPEL5,1
RNF7>CRYBG3,1
TES>COX7B,1
ZBTB44>CISD1,1
SOS2>FAM32A,1
TEAD1>SULT1C4,1
CTSH>NUDT4,1
PTEN>ITSN2,1
MIS18BP1>CENPC,1
MIS18BP1>SRM,1
VKORC1>C1R,1
KMT2C>SEMA6B,1
SPNS2>PIGF,1
SCARF1>CCNY,1
PHAX>ARF4,1
PRKD3>RAB5IF,1
RSF1>DOCK1,1
ARMCX3>SMURF2,1
TPST2>SAP30BP,1
NSA2>KLHL24,1
PRKD3>KLHL24,1
KPNA3>PMEPA1,1
MET>RPS6KA2,1
KLF7>TXNDC17,1
GALNT1>CDIPT,1
PRKD3>KPNA3,1
DGKZ>TMED2,1
PWP1>CHMP1B,1
AKR1B1>CCDC90B,1
METAP2>MSL1,1
TYW3>RAPGEF1,1
ECI2>SEMA4C,1
LUZP1>PTPRA,1
ECI2>NCK1,1
RBM23>MTR,1
RC3H1>SMIM14,1
ARMCX3>APH1A,1
GPAA1>TMEM248,1
CCDC90B>PRKAR2B,1
SSNA1>CTDSP2,1
IMPDH2>PRKAR2B,1
SETD2>CHMP4B,1
SPOCK2>DCP2,1
PHPT1>CCDC90B,1
CCNY>CDC42SE1,1
AHI1>PHAX,1
CMTM6>KIF3B,1
WASF2>KIF3B,1
PTEN>PTEN.1,1
MYDGF>IFT57,1
ARMCX3>YWHAG,1
DHX9>CYSLTR1,1
ARID1B>MPC2,1
MDH2>TIPRL,1
SSRP1>SEPT10,1
NUDC>ZFYVE16,1
CNIH4>NIPSNAP2,1
MDH2>POLR2K,1
GOLGA2>PTEN,1
SNX17>LARP4,1
TTC19>GTF2F1,1
SORBS2>STIM2,1
CTBS>FRA10AC1,1
PLEKHO2>PSMC4,1
EBF1>FAM120A,1
CSDE1>PTEN,1
ENDOD1>USP48,1
ATXN10>SSBP4,1
NXN>CPQ,1
KDM5B>PABPN1,1
MED13>RILPL2,1
PFDN2>ZNF706,1
CPEB4>ERLEC1,1
NXN>PRR13,1
PABPN1>USP53,1
ENDOD1>CYC1,1
CSNK1E>XPO1,1
ATXN10>XPO1,1
NAPA>ZC3H7A,1
TEX264>NUDT3,1
CMTM6>ASRGL1,1
ZNF83>RPAP2,1
CASC4>ITGB1BP1,1
ZNF83>DCAF7,1
NDUFA3>MRPL57,1
TWISTNB>VCL,1
SLIRP>TFAM,1
AP3B1>CCSER2,1
IMPDH2>RERE,1
SLC30A7>MECP2,1
CCT6A>MECP2,1
CTBS>HELZ,1
COL6A2>HELZ,1
EIF2S1>RAB3GAP1,1
CTBS>MRPS18C,1
SRP72>MTR,1
CTBS>ITSN2,1
UBE2Q2>SHOC2,1
KLC1>SRP19,1
IGBP1>CARD16,1
COMMD7>ADGRL2,1
PTBP1>ADGRL2,1
ATP6V1E1>RBM17,1
CEBPZ>PSMD1,1
TEAD1>DDX60,1
ATP5MD>FAM210B,1
CTSS>PSMA1,1
PRDX3>NFATC2IP,1
YWHAG>CFAP298,1
MRPL57>RYK,1
OAZ2>USP15,1
GOLGA4>SCARB1,1
UBE2S>GTF3C6,1
E2F4>ST6GAL1,1
PSMD7>ESD,1
ESD>DHRS3,1
CCNH>DHRS3,1
ESD>PSMD7,1
PPM1G>MRPS18C,1
GPCPD1>MAT2B,1
MYCT1>RAPGEF5,1
MYCT1>GPCPD1,1
GPCPD1>MYCT1,1
EVA1C>CD302,1
TXNDC17>PHF20L1,1
MYCT1>FOXO3,1
MCTS1>LEPROTL1,1
PPP1R14B>IFT43,1
ZNF217>SUPT5H,1
NFIA>NOP58,1
PPP1R14B>NT5C3A,1
DHX29>HCFC1R1,1
IFI44>FLOT2,1
RALY>INSIG1,1
DBNL>TRIM28,1
TAF11>DDX50,1
PTK2B>LONP2,1
TMEM256>MAT2A,1
GOLGA4>TXNL4A,1
TMEM256>HPCAL1,1
JAM3>TAF11,1
SDCCAG8>RAPGEF1,1
NUDT14>MRPL34,1
PLS3>MBD2,1
LBR>GNB4,1
TOP2B>LONP2,1
SNX6>PTBP1,1
DBNL>VBP1,1
PLS3>SMAD9,1
MEF2A>SMAD9,1
RBPMS>ADM5,1
BLOC1S6>MED13,1
OAZ1>EHD2,1
TM2D3>RTCB,1
DBNL>RUNX1T1,1
IKBKB>SEMA6B,1
EWSR1>HIST1H1E,1
CDKN1B>CCND2,1
CNIH4>MFSD1,1
RALBP1>FGD4,1
YIPF5>PHF20L1,1
RNF19A>SHE,1
SKI>ARFGEF2,1
SNX3>PCMTD2,1
NARF>PCMTD2,1
METTL9>FAM208B,1
TDG>PTEN,1
LSM2>MRPL27,1
SRP9>ZFYVE21,1
RAPGEF5>PEPD,1
ODF3B>FKBP11,1
EFNB2>MAST4,1
SRP9>MLH3,1
CTSL>MLH3,1
BCL10>NCOA3,1
TMEM230>STAU1,1
DDX23>FLII,1
PSMC4>HPCAL1,1
CITED2>TOB1,1
CITED2>ZC3H15,1
PPP1R13B>DDX23,1
NDST1>YWHAG,1
PCMTD2>NARF,1
XPO1>NARF,1
DAZAP1>SSU72,1
SMIM37>TMEM47,1
AUP1>RBM22,1
SLC1A5>SVIP,1
FLOT2>NOL4L,1
CBX3>PTEN,1
APH1A>PTEN,1
CSNK2B>DEPP1,1
NUDT14>RPL7L1,1
GTF2I>ZNF37A,1
TMEM47>SMIM37,1
MGST3>TM2D3,1
XPO1>SSU72,1
ZNF148>SNHG9,1
GTF2I>HIGD2A,1
COMT>NTN4,1
SPG7>EBAG9,1
ASAH1>POLR2B,1
COL18A1>KIFC3,1
UBR2>FBXO11,1
PKM>CCND2,1
PTEN>TDG,1
TCIM>MOB1A,1
STXBP3>WDR13,1
DPY30>GPAA1,1
STARD3>MPLKIP,1
EIF2AK4>SAP30BP,1
UBE2Q2>DGUOK,1
EPHB4>GIGYF2,1
IST1>SLC44A1,1
PTBP1>LAMA4,1
CORO1C>CHMP4B,1
CTNNA1>PHF20L1,1
BTBD7>CHD4,1
NFKB1>KRAS,1
CALCOCO2>TAOK2,1
PTEN>SP1,1
RAPGEF1>RBBP4,1
CALCOCO2>CDIPT,1
CNKSR3>BCL6,1
SEC11C>PTEN,1
ZBTB38>CKLF,1
WDR33>IGF2R,1
CYB5B>YTHDF2,1
VDAC1>WDR33,1
CYSLTR1>NHSL2,1
EPHB4>DCAF7,1
ARL6IP4>NUDCD2,1
TSPAN3>MRPS36,1
CALU>GRB2,1
DDX39B>HNRNPL,1
TMX3>ANAPC11,1
UBE2N>SLC29A1,1
MIER1>UBE2N,1
LSM2>RHOJ,1
LSM2>TNKS2,1
SELENOT>APOL6,1
IRF3>USP48,1
ARL2BP>ILF3,1
CYYR1>SELENOT,1
TMED9>PDZD8,1
HOXD9>CCDC124,1
LARP1>SLFN5,1
AURKAIP1>NEDD4,1
PDAP1>TCEAL8,1
DOCK1>SCOC,1
DOCK1>RSRC1,1
USP9X>SPRY4,1
IFI27L2>CDKN1C,1
DOCK1>USP9X,1
C16orf45>RRAS,1
CUL5>CDIPT,1
RIPOR1>MFSD1,1
AUP1>ACTR3,1
SYT15>MPHOSPH10,1
PCBD1>MAGEH1,1
FAAP20>DNASE1L1,1
ZKSCAN1>CLCN3,1
MAGEH1>VPS36,1
DEPP1>ITPRIPL2,1
GFOD1>PUF60,1
MEF2D>GFOD1,1
PCNX4>DCP2,1
GFOD1>MEF2D,1
ZC3H15>FXYD6,1
ARHGAP23>NFKB1,1
PRKDC>CENPC,1
ARF3>CWF19L2,1
SBNO2>PNPLA8,1
FXR1>TBC1D15,1
NELFE>NDUFA6,1
ANKRD10>MAF1,1
BOC>VPS35,1
ALG5>TLNRD1,1
MDK>MYO9A,1
NEMF>RAB8B,1
SRI>CTCF,1
CNOT7>CISD1,1
PGLS>MRPL52,1
ILF3>DCTN6,1
NUDT14>DCTN6,1
AKR1C3>MBD4,1
DCTN6>JAGN1,1
MFSD1>PNPLA8,1
TNS2>BAZ1A,1
ILF3>RABL6,1
CRIM1>ERC1,1
DUSP23>CARHSP1,1
LSM12>ANP32E,1
DCAF5>ZC3H6,1
PTEN>PSMF1,1
LBR>ZNF33A,1
PSMF1>PTEN,1
NEDD8>CLTC,1
RAB5A>CWC15,1
TOPORS>EBF3,1
NDUFS1>ATP6V1E1,1
RAB5A>ATP6V1E1,1
RAB5A>DCAF5,1
LARP4>EPM2AIP1,1
PRKAR1A>ZNF148,1
TRIOBP>TMEM43,1
NDUFB3>TTC28,1
ALG5>NTPCR,1
