,AR
"PPP4R2>EIF2S1,+",14
"EIF2S1>PPP4R2,+",11
"ROBO1>CTBS,+",7
"AR>GNAI3,-",7
"ITFG1>COPA,+",5
"CTBS>ROBO1,+",5
"AR>S1PR1,-",5
"NOB1>AHNAK2,+",5
"ROBO1>MPRIP,+",5
"AR>TIAL1,+",5
"ATL3>COPA,+",4
"CDK2AP2>HNRNPUL1,+",4
"ROBO1>OGT,+",4
"HLA-DQA1>HLA-DQA2,+",4
"AR>EIF2S1,+",4
"ROBO1>SEPT9,+",4
"NAP1L4>ROBO1,+",4
"MMP24OS>NAP1L4,+",4
"LAPTM4B>NAP1L4,+",3
"CCT7>HNRNPUL1,+",3
"PPP4R2>NMT1,+",3
"AHNAK2>ROBO1,+",3
"SUN2>SEPT9,+",3
"RAP1A>LYL1,+",3
"MPRIP>HNRNPUL1,+",3
"POLR2I>EIF2S1,-",3
"CCT7>CWC15,+",3
"CFI>C9orf78,+",3
"ROBO1>COPA,+",3
"COPA>ATL3,+",3
"RAP1A>SEPT9,+",3
"CDK2AP2>SEPT9,+",3
"AR>ROBO1,+",3
"TIAL1>REV1,+",3
"NFE2L1>TIAL1,+",3
"CFI>TFDP2,+",3
"PDCD7>ROBO1,+",3
"COPA>AHNAK2,+",3
"HLA-DQA2>HLA-DQA1,+",3
"RPS17>C9orf78,+",3
"SCARB2>TIAL1,+",3
"NAP1L4>AR,+",3
"PPP4R2>ARHGEF12,+",3
"NAP1L4>SPPL2A,+",3
"NAA38>TIAL1,+",3
"AR>GCC2,-",3
"PDCD7>HNRNPUL1,+",3
"THSD7A>ROBO1,+",3
"LYL1>RAP1A,+",3
"G3BP1>CFI,+",3
"PDCD7>DENR,+",3
"KIDINS220>EPS15,+",3
"ITFG1>EIF2S1,+",3
"SEPT9>SUN2,+",3
"AR>POLR2K,+",3
"EPS15>ITFG1,+",3
"AR>KRIT1,+",3
"EPS15>KIDINS220,+",3
"MPRIP>HLA-DQA1,+",2
"RAB2A>GNAQ,+",2
"COPA>ADNP,+",2
"EIF3J>CALM3,+",2
"ATP6AP2>MRPL32,+",2
"EIF2S1>RPS17,+",2
"RSF1>DEPP1,+",2
"CFI>PPP4R2,+",2
"EPS15>DENR,+",2
