,PTEN
"KDM2A>SMC4,+",9
"KDM2A>SP110,+",7
"ARID1A>STX12,+",6
"TAOK3>H2AFJ,+",6
"H2AFJ>ELMO1,+",5
"PTEN>RAB4A,+",5
"SAT2>LAMA5,+",5
"KNOP1>WDR1,+",5
"KDM2A>STAT5B,+",5
"CYTH1>KDM2A,+",5
"CCDC88A>STAT5B,+",5
"TXNDC12>TCN2,+",5
"KDM2A>TAOK3,+",4
"TAOK3>SMARCE1,+",4
"KDM2A>HIGD2A,+",4
"RILPL2>TTC1,+",4
"PSMB3>PRKCSH,+",4
"GABARAPL1>KDM2A,+",4
"HNRNPUL1>WDR1,+",4
"TMEM273>S100A4,+",4
"SP110>STX12,+",4
"RTF1>TAOK3,+",4
"SHOC2>SP110,+",4
"DMAC1>TXNDC12,-",4
"H2AFJ>ABCC4,+",4
"LAMA5>SAT2,+",4
"PPP4R3A>C1orf123,+",4
"C1orf115>DMAC1,+",4
"TMEM273>SAP30BP,+",4
"NME4>TMEM256,+",4
"CCDC88A>PRDM2,+",4
"WDR1>PBXIP1,+",4
"SAP30BP>PEPD,+",4
"TCN2>TXNDC12,+",4
"NME4>EMC2,+",4
"PPP4R3A>UPF2,+",4
"RILPL2>TAOK3,+",3
"KDM2A>SAP30BP,-",3
"EIF3D>SAT2,+",3
"GOLGA2>LAMA5,+",3
"SLIRP>GABARAPL1,+",3
"SAP30BP>PTEN,+",3
"GOLGA2>EMC2,+",3
"PRDM2>CCDC88A,+",3
"TMEM273>SHOC2,+",3
"IFNAR2>S100A4,+",3
"TAOK3>RNF10,+",3
"WDR1>UBE2Q2,+",3
"COPS2>MBTPS1,+",3
"TXNDC12>KPNB1,+",3
"CCDC88A>PSMB3,+",3
"TXNDC12>CCT5,+",3
"CBX3>CSDE1,+",3
"SLC39A1>GOLGA2,+",3
"SHISA5>TTC1,+",3
"CNOT4>HIPK2,+",3
"KPNB1>TXNDC12,+",3
"TMEM273>LAMA5,+",3
"PBXIP1>STAT5B,+",3
"H2AFJ>TAOK3,+",3
"TCN2>RNF10,+",3
"ZNF207>CYTH1,+",3
"ELMO1>VPS37B,+",3
"PTEN>SHISA5,+",3
"TMEM131>C1orf123,+",3
"TMEM273>RAB5C,+",3
"HNRNPUL1>TMEM50B,+",3
"PTEN>WDR1,+",3
"CCDC88A>S100A4,+",3
"STX12>PEPD,+",3
"SLTM>UPF2,+",3
"EMC2>ZKSCAN1,+",3
"SLIRP>TXNDC12,+",3
"STAT5B>PBXIP1,+",3
"PPP4R3A>TAOK3,-",3
"KDM2A>STX12,+",3
"STAT5B>CCDC88A,+",3
"NUDCD1>EMC2,+",3
"PSMB3>CALCOCO2,+",3
"SP110>SHOC2,+",3
"TXNDC12>HIPK2,+",3
"TTC1>WDR1,+",3
"KDM2A>CYTH1,+",3
"NR4A2>S100A4,+",3
"RILPL2>PHF20L1,+",3
"SAP30BP>ARID1A,-",3
"SAP30BP>GOLGA2,+",3
"S100A4>MBTPS1,+",3
"C5orf24>SAP30BP,+",3
"RNF10>POLK,+",3
"CYTH1>POLK,+",3
"ZNHIT1>DMAC1,+",3
"EMC2>LIPA,+",3
"ZNF207>ZKSCAN1,+",3
"PTEN>NME4,+",2
"KPNB1>PHF20L1,+",2
"VAT1>AGFG1,+",2
"HNRNPUL1>SHOC2,+",2
"SLIRP>H2AFJ,+",2
"PSMF1>C1orf115,+",2
"CREBBP>KDM2A,+",2
"SLC39A1>USP14,+",2
"CBX3>PTEN,+",2
"SMARCE1>TAOK3,+",2
"TTC1>NUDT4,+",2
"RNF10>TAOK3,+",2
"POLK>CNOT4,+",2
"FAM107B>LAMA5,-",2
"NME4>PTEN,+",2
"KDM2A>GABARAPL1,+",2
"CCT5>FAM107B,+",2
"NMI>PSMF1,+",2
"FAM107B>PBXIP1,+",2
"TXNDC12>SOS2,+",2
"SLTM>NDUFS1,-",2
"LAMA5>S100A4,+",2
"FDPS>AES,+",2
"TRA2A>RTF1,+",2
"NUDT4>RILPL2,+",2
"PTEN>KNOP1,+",2
"TCN2>PBXIP1,+",2
"LAMA5>ZADH2,+",2
"KDM2A>RILPL2,+",2
"TXNDC12>ZADH2,+",2
"TMEM273>ZNF428,+",2
"H2AFJ>CCDC88A,+",2
"PTEN>KPNB1,+",2
"PRKCSH>PTEN,+",2
"RAB5C>HIST1H4C,+",2
"TMEM131>GOLGA2,+",2
"PSMB5>SAP30BP,+",2
"H2AFJ>ARID1A,+",2
"SLC39A1>SP110,+",2
"DMAC1>C1orf115,+",2
"C1orf123>ARID1A,+",2
"NME4>SAT2,+",2
"SLC39A1>EMC2,+",2
"TXNDC12>CBX3,+",2
"LAMA5>SMARCE1,+",2
"SAP30BP>TXNDC12,+",2
"S100A4>IFNAR2,+",2
"CNOT4>DMAC1,+",2
"SAP30BP>DMAC1,+",2
"ELMO1>H2AFJ,+",2
"CREBBP>C1orf123,+",2
"PBXIP1>PSMF1,+",2
"PBXIP1>WDR1,+",2
"RILPL2>WDR1,+",2
"EMC2>GOLGA2,+",2
"ZNF207>KPNB1,+",2
"SP110>RAB4A,+",2
"IFNAR2>DMAC1,+",2
"ARID1A>NMI,+",2
"UBE2Q2>PURA,+",2
"PPP3CA>SYF2,+",2
"NMI>LIPA,+",2
"H2AFJ>EMC2,-",2
"UBE2I>SLIRP,+",2
"RTF1>CYTH1,+",2
"DMAC1>WDR1,+",2
"TCN2>C1orf115,+",2
"NME4>SMIM37,+",2
"S100A4>ERC1,+",2
"SOS1>PPP4R3A,+",2
"PTEN>ISLR,+",2
"GOLGA2>PAXBP1,+",2
"CCT5>TSR3,+",2
"H2AFJ>PBXIP1,+",2
"RTF1>KDM2A,+",2
"VPS37B>ARID1A,+",2
"TTC1>UBE2Q2,+",2
"HIGD2A>KDM2A,+",2
"RTF1>TCN2,+",2
"TXNDC12>MUC20-OT1,+",2
"SAP30BP>TMEM273,+",2
"TTC1>RAB5C,+",2
"HNRNPAB>SLIRP,+",2
"EMC2>RIF1,+",2
"CCT5>UBE2Q2,+",2
"AGO2>UBR5,+",2
"SHISA5>MCTP1,+",2
"PTEN>C1orf123,+",2
"AP2M1>FBN1,+",2
"STX12>ARID1A,+",2
"TINAGL1>STAT5B,+",2
"RTF1>CX3CL1,+",2
"CCDC88A>ELMO1,+",2
"ARID1A>TNFRSF14,+",2
"CCDC88A>H2AFJ,+",2
"ZNF428>ELMO1,+",2
"RIF1>ARID1A,+",2
"SAP30BP>EMC2,+",2
"CBX3>GLG1,+",2
"LAMA5>SP110,+",2
"GOLGA2>UBE2Q2,+",2
"KDM2A>GOLGA2,+",2
"PTEN>LIPA,+",2
"POLK>RNF10,+",2
"CSDE1>RTF1,+",2
"TMEM50B>HNRNPUL1,+",2
"CCDC88A>TLK1,+",2
"MAGT1>PRKCSH,+",2
"LIPA>ANP32E,+",2
"SUCLG1>TXNDC12,+",2
"SAP30BP>PIN4,+",2
"ABCC4>USP53,+",2
"SMC4>KDM2A,+",2
"RAP1B>LIPA,+",2
"PSMB3>LIPA,+",2
"CCDC88A>TMEM256,+",2
"ZNHIT1>CREBRF,+",2
"RAB5C>PSMB3,+",2
"KDM2A>CNOT4,+",2
"LAMA5>DMAC1,+",2
"C5orf24>ZKSCAN1,+",2
"KDM2A>NUDCD1,+",2
"TTC1>HIGD2A,+",2
"TMEM273>VAT1,+",2
"RTN3>SMC4,+",2
"DMAC1>TCN2,+",2
"WDR1>HBP1,+",2
"CCDC88A>SHISA5,+",2
"SHOC2>ZNF207,+",2
"SYF2>C19orf24,+",2
"POLR2G>COPS2,+",2
"ELMO1>PRKD3,+",2
"GABARAPL1>SUPT6H,-",2
"RILPL2>NUDT4,+",2
"TAOK3>NME4,+",2
"KNOP1>HNRNPUL1,+",2
"CCDC88A>RECQL,+",2
"RNF10>TTC1,-",2
"VPS37B>S100A4,+",2
"CHSY1>TSR3,+",2
"SLIRP>HNRNPUL1,+",2
"NME4>TAOK3,+",2
"NUDT4>HNRNPUL1,+",2
"PRKCSH>KNOP1,-",2
"LAMA5>STAT5B,+",2
"HNRNPUL1>KDM2A,+",2
"SWAP70>STX12,+",2
"MRPS34>DMAC1,+",2
"SLTM>EMC2,+",2
"CNOT4>WDR1,+",2
"ELMO1>TSPAN18,+",2
"KDM2A>PTEN,+",2
"CALCOCO2>CNOT4,+",2
"PRKCSH>SHISA5,+",2
"HNRNPUL1>KNOP1,+",2
"ITSN2>ARID1A,+",2
"SLC12A2>CCDC88A,+",2
"TMEM273>UQCR10,+",2
"SAP30BP>SLC30A7,+",2
"GABARAPL1>H2AFJ,+",2
"H2AFJ>S100A4,+",2
"H2AFJ>POLK,+",2
"STX12>SP110,+",2
"CBX3>SLTM,+",2
"KDM2A>CLTC,+",2
"RAP1B>GABARAPL1,+",2
"HIPK2>CNOT4,+",2
"MBTPS1>NME4,+",2
"SHOC2>GABARAPL1,+",2
"CHSY1>PSMC4,-",2
"KDELR2>CHSY1,+",2
"S100A4>CCDC88A,+",2
"HLA-C>HLA-A,+",2
"STX12>NMI,+",2
"KDM2A>SMIM37,+",2
"PTEN>ALG5,+",2
"TCN2>FDPS,+",2
"LAMA5>GOLGA2,+",2
"C1orf123>PSMB3,+",2
"SAP30BP>RAB4A,-",2
"ELMO1>PRKCSH,+",2
"SLIRP>ABCC4,+",2
"COPS2>ABCC4,+",2
"KDM2A>UPF2,+",2
"GABARAPL1>ZNHIT1,+",2
"TMEM273>SH3BGRL2,+",2
"CCDC88A>EIF3D,+",2
"H2AFJ>FCHO2,+",2
"PRKAA1>TAOK3,+",2
"LAMA5>ZNF207,+",2
"C1GALT1C1>RAB4A,+",2
"RAB4A>C1orf123,+",2
"PPP4R3A>GOLGA2,+",2
"RAB4A>SAP30BP,-",2
"ELMO1>WDR1,+",2
"UBE2I>WDR1,+",2
"MCAM>UPF2,+",2
"TXNDC12>C1orf115,+",2
"PSMC4>RNF10,+",2
"ZNHIT1>SMC4,+",2
"PTEN>PBXIP1,+",2
"PTEN>GABARAPL1,+",2
"GABARAPL1>ERGIC2,+",2
"TMEM273>PSMF1,+",2
"PSMB3>RTF1,+",2
"SLC25A11>MAGT1,+",2
"CCDC88A>PHF20L1,+",2
"STAT5B>KDM2A,+",2
"VAT1>PPP4R3A,+",2
"ELMO1>UBE2I,-",2
"ZNF207>CREBRF,+",2
