,AR
AR>AR.1,2
SDF4>NUMB,1
MCTP1>STX12,1
ARPC5L>C16orf45,1
CDK12>IPO11,1
CDK12>GNL3,1
MAGEH1>GNL3,1
FZD6>SDHB,1
MBD4>LDLR,1
RAB4A>MRPS18B,1
RRAGA>UBE2V2,1
NDUFB10>MAGT1,1
MBD4>HERC1,1
FAM3C>ZNF608,1
DDX39B>PIGT,1
EML4>LYRM2,1
SRSF1>RBBP6,1
CTR9>TMEM9B,1
PEAK1>CORO1B,1
CENPB>TSPAN9,1
SNX17>PNKD,1
PSMD8>CLTB,1
PSMD8>SEPT9,1
ARHGAP23>STAU2,1
RTN3>PCGF5,1
FZD6>NDUFS4,1
PDCD2>SMAD9,1
RAB8A>CLK4,1
WASL>AR,1
FSTL1>RC3H2,1
CLK4>PRDM1,1
DHX15>CD2AP,1
RBX1>ANXA2R,1
LUC7L>MOB1A,1
CDV3>POLR2H,1
CLK4>PSMD1,1
CLK4>HOXB7,1
LUC7L>THAP5,1
MSL1>TMEM184B,1
FZD6>PDE4D,1
NMI>PAFAH1B1,1
NDUFS4>EWSR1,1
FZD6>MSL1,1
MCMBP>SMARCC2,1
C16orf45>MCMBP,1
FZD6>WASHC4,1
NMI>KLC1,1
FZD6>KPNA4,1
GPR146>PPIP5K2,1
SARAF>SMIM7,1
TSPYL2>YPEL5,1
PUM2>CAMLG,1
B2M>GRB10,1
PPP4R3A>WWP1,1
PHIP>CYBC1,1
RAPGEF5>IKBKB,1
ST6GAL1>USP47,1
ZNF33A>ARHGEF15,1
F11R>RPS6KA2,1
ZFR>STAT1,1
PRKCSH>MTUS1,1
SYNGR2>EIF2AK4,1
TMEM243>EIF2AK4,1
WDR82>NDUFB5,1
POLR2F>PPP1R18,1
BACE2>VPS26A,1
LTBR>MBD5,1
HNRNPM>KAT6A,1
NOTCH1>RARA,1
AMOTL2>ILF2,1
TXNL4A>DYSF,1
LAMTOR2>INPP1,1
EIF3H>AIG1,1
CTTNBP2NL>YIPF5,1
PUM2>ZNF518A,1
GNB1>ERC1,1
CLTC>PPP4R3A,1
MYO1C>CDS2,1
RTF1>PPIP5K2,1
ARL1>ELMO1,1
