,ERG
"PSMD8>WDR45B,+",5
"TTC1>MFNG,+",4
"PSMD8>PDIA4,+",4
"MFNG>C19orf70,+",3
"C19orf70>CIR1,+",3
"PTPRA>KDM2A,+",3
"NDUFB7>LAMTOR1,+",3
"PTPRA>MED13,+",3
"ARL2>PSMD8,+",3
"SKI>RHOJ,+",3
"NDUFAF3>HPCAL1,+",3
"PSMD8>MRPS34,+",3
"PSMB5>POLK,+",3
"PSMD8>MRPL33,+",3
"ERG>TTC1,+",3
"MED13>PTPRA,+",3
"NME1>WDR45B,+",2
"TTC1>RTCB,+",2
"WDR45B>TCF25,+",2
"PSMD8>YME1L1,+",2
"KDM2A>KANSL1,+",2
"C19orf70>SYF2,+",2
"NDUFA1>SUGT1,+",2
"LAMTOR1>NME1,+",2
"PSMD8>CHMP2A,+",2
"ATXN7L3B>AK2,+",2
"AP2B1>TMEM14C,+",2
"MED13>C19orf70,+",2
"OS9>ATP8B1,+",2
"ENO1>PSMA3,+",2
"PSMB5>RHOJ,+",2
"WDR45B>PAIP2,+",2
"ENO1>CTSL,+",2
"EIF4A1>LAMTOR1,+",2
"WDR45B>ANKRD10,+",2
"HIST1H1D>HEXB,+",2
"PSMD8>C8orf33,+",2
"PSMB5>FAM177A1,+",2
"PSMA3>SUMF2,+",2
"TCF25>C8orf33,+",2
"MRPL33>UFC1,+",2
"UBE2E3>UBAC1,-",2
"MRPL33>PSMD8,+",2
"ARHGAP23>PSMD8,-",2
"MRPS34>DNAJB6,+",2
"SPPL2A>SKI,-",2
"HDGF>UBE2E3,+",2
"RTF2>MRPS34,+",2
"PSMA3>SURF4,+",2
"PSMD8>UFC1,+",2
"TTC1>SETD5,+",2
"CTSL>PTPRA,+",2
"NUCB1>ARL4A,+",2
"SNRNP200>TTC1,+",2
"PTPRA>HPCAL1,+",2
"ARF1>HPCAL1,+",2
"HADHA>NUCB1,+",2
"SETD5>NIPBL,+",2
"SFSWAP>FAM200B,+",2
"TMEM173>CCT7,+",2
"NCKAP1>YME1L1,+",2
"ATP6V0E1>HSPA2,+",2
"TCF25>PTPRA,+",2
"CTSL>PCGF2,+",2
"OS9>SKI,+",2
"NDUFB7>POLK,+",2
"ARL2>UBE2E3,-",2
"ARF1>SNRPD1,+",2
"KDM2A>EIF1B,+",2
"GRN>BZW1,+",2
"ERG>GON4L,+",2
"PDIA4>PSMD8,+",2
